bulk_id,dE_CO,dE_H,dE_CHO,dE_COOH
mp-30,0.101,0.652,0.932,1.051
mp-81,,1.065,0.849,1.222
mp-124,0.581,1.124,1.252,1.831
mp-79,0.683,1.141,1.708,0.687
mp-117,,0.674,-2.785,-2.519
mp-85,,1.495,1.963,
mp-23152,0.423,1.545,,1.156
mp-20483,,,1.214,1.721
mp-126,-0.562,0.457,0.182,1.72
mp-2,-0.943,0.452,,0.733
mp-23,-1.082,0.277,-0.23,0.264
mp-13,-0.968,0.814,-0.309,0.505
mp-54,0.802,0.336,,
mp-1184018,-0.055,1.068,0.932,1.042
mp-1184011,-0.066,0.878,0.581,1.321
mp-1215401,0.027,1.173,,0.894
mp-10598,0.408,1.398,1.555,1.285
mp-1018029,0.378,0.688,0.444,0.458
mp-12086,0.283,1.021,0.051,1.313
mp-21985,-0.07,0.728,1.613,0.636
mp-1183995,,0.92,,1.821
mp-1008555,,0.92,0.92,
