bulk_id,formula,dE_NO3,anom_NO3,dE_NO2,anom_NO2,dE_NO,anom_NO,dE_N,anom_N,dE_NH,anom_NH,dE_NH3,anom_NH3
mp-30,Cu,6.166,False,4.099,False,3.511,False,1.524,False,0.553,False,-0.13,True
mp-23,Ni,6.023,False,2.303,True,2.388,False,-0.206,False,-0.518,False,-0.152,False
mp-54,Co,5.42,False,0.716,True,1.354,False,-0.902,False,-1.018,False,-0.169,True
mp-2,Pd,6.471,False,4.294,False,2.718,False,1.96,False,1.347,False,-0.605,False
mp-74,Rh,5.975,False,3.844,False,1.996,False,0.462,False,-0.231,False,-0.763,False
mp-126,Pt,6.754,False,5.117,False,2.759,False,2.02,False,1.013,False,-0.851,False
no3rr-Cu3Ni,Cu3Ni,5.881,False,3.197,True,2.505,False,0.25,False,-0.171,False,-0.761,False
no3rr-Cu3Co,CoCu3,5.826,False,3.556,False,1.196,False,-0.472,False,-0.564,False,-0.411,False
no3rr-Cu3Fe,Cu3Fe,4.237,True,2.775,False,2.068,False,-0.659,False,-1.464,True,-0.932,False
no3rr-Cu3Pd,Cu3Pd,6.366,False,4.636,False,3.436,False,1.794,False,1.003,False,-0.488,False
no3rr-Cu3Rh,Cu3Rh,6.161,False,4.416,False,3.201,False,0.315,False,0.343,False,-0.174,True
no3rr-Cu3Pt,Cu3Pt,6.653,False,4.793,False,4.309,False,1.434,False,1.648,False,-0.603,False
no3rr-Cu3Zn,Cu3Zn,5.85,False,4.084,False,3.808,False,1.677,False,1.107,False,-0.115,True
no3rr-Cu3Sn,Cu3Sn,6.335,False,4.892,False,4.014,False,2.379,False,1.671,False,-0.159,True
no3rr-Cu3Ag,AgCu3,6.132,False,4.638,False,4.288,False,2.492,False,1.895,False,-0.273,False
no3rr-Ni3Cu,CuNi3,5.972,False,3.931,False,2.711,False,0.451,False,0.429,False,-0.161,True
no3rr-Co3Cu,Co3Cu,5.788,False,3.718,False,1.798,False,1.081,False,-0.247,False,0.033,True
no3rr-Pd3Cu,CuPd3,6.142,False,4.639,False,2.506,False,1.635,False,2.535,False,-0.208,False
no3rr-Ni3Fe,FeNi3,5.535,False,4.029,False,1.27,False,-1.075,False,-1.098,False,-0.191,False
no3rr-Ni3Co,CoNi3,4.993,True,1.541,True,1.376,False,-0.808,False,-0.932,False,-0.188,True
no3rr-Co3Pd,Co3Pd,6.122,False,4.966,False,1.952,False,1.301,False,0.757,False,-0.334,False
