bulk_id,formula,adsorbate,E_adslab,E_slab,anomaly
mp-30,Cu,NO3,5.38259744644165,-0.7830974459648132,False
mp-30,Cu,NO2,3.316206455230713,-0.7830974459648132,False
mp-30,Cu,NO,2.727886915206909,-0.7830974459648132,False
mp-30,Cu,N,0.7405686974525452,-0.7830974459648132,False
mp-30,Cu,NH,-0.22970247268676758,-0.7830974459648132,False
mp-30,Cu,NH3,-0.9134265780448914,-0.7830974459648132,True
mp-23,Ni,NO3,5.265141010284424,-0.7576603889465332,False
mp-23,Ni,NO2,1.5456078052520752,-0.7576603889465332,True
mp-23,Ni,NO,1.6301846504211426,-0.7576603889465332,False
mp-23,Ni,N,-0.9633305072784424,-0.7576603889465332,False
mp-23,Ni,NH,-1.2752264738082886,-0.7576603889465332,False
mp-23,Ni,NH3,-0.9100374579429626,-0.7576603889465332,False
mp-54,Co,NO3,4.688662528991699,-0.7309491038322449,False
mp-54,Co,NO2,-0.015170037746429443,-0.7309491038322449,True
mp-54,Co,NO,0.623187243938446,-0.7309491038322449,False
mp-54,Co,N,-1.632936954498291,-0.7309491038322449,False
mp-54,Co,NH,-1.7490699291229248,-0.7309491038322449,False
mp-54,Co,NH3,-0.8998659253120422,-0.7309491038322449,True
mp-2,Pd,NO3,5.716879367828369,-0.753728985786438,False
mp-2,Pd,NO2,3.5402421951293945,-0.753728985786438,False
mp-2,Pd,NO,1.963874340057373,-0.753728985786438,False
mp-2,Pd,N,1.205794334411621,-0.753728985786438,False
mp-2,Pd,NH,0.593242347240448,-0.753728985786438,False
mp-2,Pd,NH3,-1.3590192794799805,-0.753728985786438,False
mp-74,Rh,NO3,5.22194242477417,-0.752887487411499,False
mp-74,Rh,NO2,3.0913805961608887,-0.752887487411499,False
mp-74,Rh,NO,1.2432353496551514,-0.752887487411499,False
mp-74,Rh,N,-0.2903980314731598,-0.752887487411499,False
mp-74,Rh,NH,-0.9836474061012268,-0.752887487411499,False
mp-74,Rh,NH3,-1.5162473917007446,-0.752887487411499,False
mp-126,Pt,NO3,6.01442289352417,-0.7398467659950256,False
mp-126,Pt,NO2,4.377460479736328,-0.7398467659950256,False
mp-126,Pt,NO,2.019634246826172,-0.7398467659950256,False
mp-126,Pt,N,1.2803022861480713,-0.7398467659950256,False
mp-126,Pt,NH,0.2728908658027649,-0.7398467659950256,False
mp-126,Pt,NH3,-1.5912996530532837,-0.7398467659950256,False
no3rr-Cu3Ni,Cu3Ni,NO3,5.139352798461914,-0.741226315498352,False
no3rr-Cu3Ni,Cu3Ni,NO2,2.4555046558380127,-0.741226315498352,True
no3rr-Cu3Ni,Cu3Ni,NO,1.7633769512176514,-0.741226315498352,False
no3rr-Cu3Ni,Cu3Ni,N,-0.49127450585365295,-0.741226315498352,False
no3rr-Cu3Ni,Cu3Ni,NH,-0.9125769138336182,-0.741226315498352,False
no3rr-Cu3Ni,Cu3Ni,NH3,-1.5020301342010498,-0.741226315498352,False
no3rr-Cu3Co,CoCu3,NO3,5.108677387237549,-0.7174835205078125,False
no3rr-Cu3Co,CoCu3,NO2,2.838560104370117,-0.7174835205078125,False
no3rr-Cu3Co,CoCu3,NO,0.4781901240348816,-0.7174835205078125,False
no3rr-Cu3Co,CoCu3,N,-1.1894421577453613,-0.7174835205078125,False
no3rr-Cu3Co,CoCu3,NH,-1.2812665700912476,-0.7174835205078125,False
no3rr-Cu3Co,CoCu3,NH3,-1.1289616823196411,-0.7174835205078125,False
no3rr-Cu3Fe,Cu3Fe,NO3,3.511463165283203,-0.7259456515312195,True
no3rr-Cu3Fe,Cu3Fe,NO2,2.0490550994873047,-0.7259456515312195,False
no3rr-Cu3Fe,Cu3Fe,NO,1.3417458534240723,-0.7259456515312195,False
no3rr-Cu3Fe,Cu3Fe,N,-1.38515043258667,-0.7259456515312195,False
no3rr-Cu3Fe,Cu3Fe,NH,-2.19026255607605,-0.7259456515312195,True
no3rr-Cu3Fe,Cu3Fe,NH3,-1.657461404800415,-0.7259456515312195,False
no3rr-Cu3Pd,Cu3Pd,NO3,5.61633825302124,-0.7498524188995361,False
no3rr-Cu3Pd,Cu3Pd,NO2,3.886129856109619,-0.7498524188995361,False
no3rr-Cu3Pd,Cu3Pd,NO,2.6859729290008545,-0.7498524188995361,False
no3rr-Cu3Pd,Cu3Pd,N,1.0442073345184326,-0.7498524188995361,False
no3rr-Cu3Pd,Cu3Pd,NH,0.2529054284095764,-0.7498524188995361,False
no3rr-Cu3Pd,Cu3Pd,NH3,-1.2374320030212402,-0.7498524188995361,False
no3rr-Cu3Rh,Cu3Rh,NO3,5.419308662414551,-0.7412104606628418,False
no3rr-Cu3Rh,Cu3Rh,NO2,3.675074577331543,-0.7412104606628418,False
no3rr-Cu3Rh,Cu3Rh,NO,2.4596621990203857,-0.7412104606628418,False
no3rr-Cu3Rh,Cu3Rh,N,-0.4265790581703186,-0.7412104606628418,False
no3rr-Cu3Rh,Cu3Rh,NH,-0.398088663816452,-0.7412104606628418,False
no3rr-Cu3Rh,Cu3Rh,NH3,-0.9155532121658325,-0.7412104606628418,True
no3rr-Cu3Pt,Cu3Pt,NO3,5.922454833984375,-0.730621874332428,False
no3rr-Cu3Pt,Cu3Pt,NO2,4.062836647033691,-0.730621874332428,False
no3rr-Cu3Pt,Cu3Pt,NO,3.5783729553222656,-0.730621874332428,False
no3rr-Cu3Pt,Cu3Pt,N,0.7030966877937317,-0.730621874332428,False
no3rr-Cu3Pt,Cu3Pt,NH,0.917427122592926,-0.730621874332428,False
no3rr-Cu3Pt,Cu3Pt,NH3,-1.3337390422821045,-0.730621874332428,False
no3rr-Cu3Zn,Cu3Zn,NO3,5.088082790374756,-0.7619848847389221,False
no3rr-Cu3Zn,Cu3Zn,NO2,3.32246732711792,-0.7619848847389221,False
no3rr-Cu3Zn,Cu3Zn,NO,3.045574426651001,-0.7619848847389221,False
