bulk_id,dE_OH,dE_O,dE_OOH
mp-126,1.823,2.348,4.721
mp-2,1.594,1.986,4.623
mp-101,1.472,1.714,4.27
mp-33,0.361,0.788,0.067
mp-74,1.159,1.391,3.819
mp-81,2.318,3.391,5.519
mp-124,1.52,2.95,4.915
mp-30,1.037,1.709,4.335
mp-23,0.918,0.92,1.218
mp-54,0.525,0.517,3.787
mp-13,0.12,0.651,-0.559
mp-35,-0.084,0.265,-0.87
mp-72,-1.246,-1.868,-2.762
mp-90,0.05,-0.437,-0.672
mp-49,-0.021,0.033,0.192
mp-8,-0.178,-0.165,-1.056
mp-91,-0.248,-0.376,-1.763
mp-146,-0.175,-0.947,-3.131
mp-129,-0.189,0.236,-0.929
mp-75,-0.271,-0.709,-0.714
mp-50,-0.593,-0.045,-2.4
