bulk_id,adsorbate,E_adslab,E_slab,anomaly
mp-126,OH,1.0612576007843018,-0.7619868516921997,False
mp-126,O,1.5859179496765137,-0.7619868516921997,False
mp-126,OOH,3.959226131439209,-0.7619868516921997,False
mp-2,OH,0.8423530459403992,-0.7521260976791382,False
mp-2,O,1.234316349029541,-0.7521260976791382,False
mp-2,OOH,3.8706107139587402,-0.7521260976791382,False
mp-101,OH,0.7275839447975159,-0.7446606159210205,False
mp-101,O,0.9693382382392883,-0.7446606159210205,False
mp-101,OOH,3.525142192840576,-0.7446606159210205,False
mp-33,OH,-0.38244399428367615,-0.7433106899261475,False
mp-33,O,0.04449087381362915,-0.7433106899261475,False
mp-33,OOH,-0.6766539812088013,-0.7433106899261475,True
mp-74,OH,0.41502803564071655,-0.7437997460365295,False
mp-74,O,0.6470162272453308,-0.7437997460365295,False
mp-74,OOH,3.074730157852173,-0.7437997460365295,True
mp-81,OH,1.5612704753875732,-0.756710410118103,False
mp-81,O,2.63472318649292,-0.756710410118103,False
mp-81,OOH,4.762086868286133,-0.756710410118103,False
mp-124,OH,0.7630587220191956,-0.7569804191589355,False
mp-124,O,2.193490982055664,-0.7569804191589355,False
mp-124,OOH,4.157602310180664,-0.7569804191589355,False
mp-30,OH,0.283607542514801,-0.7530884742736816,False
mp-30,O,0.9559853672981262,-0.7530884742736816,False
mp-30,OOH,3.5818700790405273,-0.7530884742736816,False
mp-23,OH,0.16985243558883667,-0.7479158639907837,False
mp-23,O,0.17249524593353271,-0.7479158639907837,False
mp-23,OOH,0.469792902469635,-0.7479158639907837,True
mp-54,OH,-0.21558809280395508,-0.7404832243919373,False
mp-54,O,-0.22327667474746704,-0.7404832243919373,False
mp-54,OOH,3.046541452407837,-0.7404832243919373,True
mp-13,OH,-0.5816676616668701,-0.7012571096420288,False
mp-13,O,-0.050435423851013184,-0.7012571096420288,False
mp-13,OOH,-1.260461449623108,-0.7012571096420288,True
mp-35,OH,-0.6401559710502625,-0.5556986331939697,False
mp-35,O,-0.29100799560546875,-0.5556986331939697,False
mp-35,OOH,-1.4259878396987915,-0.5556986331939697,True
mp-72,OH,-2.002593517303467,-0.7569900751113892,False
mp-72,O,-2.624894857406616,-0.7569900751113892,False
mp-72,OOH,-3.519052743911743,-0.7569900751113892,True
mp-90,OH,-0.7006894946098328,-0.7507411241531372,False
mp-90,O,-1.1876169443130493,-0.7507411241531372,False
mp-90,OOH,-1.4222996234893799,-0.7507411241531372,True
mp-49,OH,-0.7637946605682373,-0.7430391907691956,False
mp-49,O,-0.7098171710968018,-0.7430391907691956,False
mp-49,OOH,-0.5511610507965088,-0.7430391907691956,True
mp-8,OH,-0.926958441734314,-0.7486097812652588,False
mp-8,O,-0.9135966300964355,-0.7486097812652588,False
mp-8,OOH,-1.804386854171753,-0.7486097812652588,True
mp-91,OH,-0.9895786643028259,-0.7411508560180664,False
mp-91,O,-1.1174418926239014,-0.7411508560180664,False
mp-91,OOH,-2.5039334297180176,-0.7411508560180664,True
mp-146,OH,-0.9142148494720459,-0.7387689352035522,False
mp-146,O,-1.6854852437973022,-0.7387689352035522,False
mp-146,OOH,-3.870083808898926,-0.7387689352035522,True
mp-129,OH,-0.9257770776748657,-0.7364799380302429,False
mp-129,O,-0.5004780292510986,-0.7364799380302429,False
mp-129,OOH,-1.6650843620300293,-0.7364799380302429,True
mp-75,OH,-1.0064400434494019,-0.7350992560386658,False
mp-75,O,-1.444126844406128,-0.7350992560386658,False
mp-75,OOH,-1.448967456817627,-0.7350992560386658,True
mp-50,OH,-1.3309178352355957,-0.7377109527587891,False
mp-50,O,-0.7829006910324097,-0.7377109527587891,False
mp-50,OOH,-3.1374082565307617,-0.7377109527587891,True
