adsorbate,bulk_id,min_E_ml
H,mp-1186014,-0.5925571918487549
NNH,mp-1186014,-0.3056190609931946
H,mp-2677,-0.472421258687973
NNH,mp-2677,1.2672770023345947
H,oqmd-343006,-0.4811556935310364
NNH,oqmd-343006,-0.489517480134964
H,oqmd-343039,0.10937076807022095
NNH,oqmd-343039,1.5683999061584473
H,oqmd-343394,-1.0398950576782227
NNH,oqmd-343394,-0.8696858882904053
H,oqmd-343615,-0.38632485270500183
NNH,oqmd-343615,0.12770867347717285
H,oqmd-344237,-0.10409164428710938
NNH,oqmd-344237,-0.4239603281021118
H,oqmd-344251,-1.1126224994659424
H,oqmd-344635,-0.6705615520477295
NNH,oqmd-344635,-0.592309832572937
H,oqmd-345352,-1.0528059005737305
NNH,oqmd-345352,-2.2263457775115967
H,oqmd-345911,-0.4512842893600464
H,oqmd-346653,-1.0145208835601807
NNH,oqmd-346653,0.0731918215751648
H,oqmd-346818,-0.42057374119758606
NNH,oqmd-346818,-0.11013007164001465
H,oqmd-347528,-0.39673900604248047
H,oqmd-348366,-1.0479276180267334
H,oqmd-348629,0.2278338074684143
NNH,oqmd-348629,1.83174467086792
H,oqmd-349496,-0.1264430284500122
NNH,oqmd-349496,-0.09413301944732666
H,oqmd-349719,-0.3572584092617035
NNH,oqmd-349719,1.0652904510498047
H,oqmd-349813,-0.025818824768066406
NNH,oqmd-349813,1.6555273532867432
