bulk_id,formula,dE_NO3,anom_NO3,dE_NO2,anom_NO2,dE_NO,anom_NO,dE_N,anom_N,dE_NH,anom_NH,dE_NH3,anom_NH3
mp-30,Cu,6.179,False,4.405,False,3.523,False,1.52,False,0.551,False,-0.406,False
mp-23,Ni,5.544,True,3.756,False,1.895,False,-0.176,False,-0.34,False,-0.136,False
mp-54,Co,5.444,False,3.366,False,1.137,False,-0.927,False,-0.995,False,-0.918,False
mp-2,Pd,6.443,False,4.641,False,2.305,False,1.39,False,2.391,False,-0.614,False
mp-74,Rh,6.009,False,3.8,False,1.732,False,0.422,False,-0.249,False,-0.677,False
mp-126,Pt,6.778,False,4.287,False,2.751,False,1.532,False,0.707,False,-0.881,False
no3rr-Cu3Ni,Cu3Ni,5.833,False,4.483,False,2.562,False,0.272,False,-0.107,False,-0.186,False
no3rr-Cu3Co,CoCu3,5.721,False,3.569,False,1.493,False,0.233,False,0.333,False,-0.961,False
no3rr-Cu3Fe,Cu3Fe,5.735,False,2.677,False,0.826,False,-0.854,False,0.206,False,-1.056,False
no3rr-Cu3Pd,Cu3Pd,6.569,False,4.696,False,4.164,False,1.785,False,1.388,False,-0.39,False
no3rr-Cu3Rh,Cu3Rh,6.091,False,4.708,False,2.284,False,0.156,False,0.63,False,-0.223,False
no3rr-Cu3Pt,Cu3Pt,6.763,False,4.678,False,4.371,False,1.418,False,1.598,False,-0.446,False
no3rr-Cu3Zn,Cu3Zn,5.941,False,4.202,False,3.431,False,1.654,False,0.628,False,-0.125,True
no3rr-Cu3Sn,Cu3Sn,6.455,False,4.816,False,3.954,False,2.924,False,1.737,False,-0.132,True
no3rr-Cu3Ag,AgCu3,6.194,False,4.517,False,4.258,False,2.612,False,2.043,False,-0.282,False
no3rr-Ni3Cu,CuNi3,6.318,False,4.122,False,2.636,False,0.461,False,0.419,False,-0.142,False
no3rr-Co3Cu,Co3Cu,5.769,False,3.748,False,1.801,False,0.29,False,-0.254,False,0.009,True
no3rr-Pd3Cu,CuPd3,6.19,False,4.661,False,2.512,False,1.669,False,1.105,False,-0.185,False
no3rr-Ni3Fe,FeNi3,3.012,True,4.004,False,1.872,False,-0.642,False,-1.011,False,-0.779,False
no3rr-Ni3Co,CoNi3,5.05,True,3.829,False,1.443,False,-0.789,False,-0.705,False,-0.193,True
no3rr-Co3Pd,Co3Pd,5.977,False,4.503,False,1.875,False,0.681,False,0.434,False,-0.15,True
