bulk_id,adsorbate,E_adslab,E_slab,anomaly
mp-30,CO,-0.6200162172317505,-0.753070592880249,False
mp-30,H,-0.12627100944519043,-0.753070592880249,False
mp-30,CHO,0.26795512437820435,-0.753070592880249,True
mp-30,COOH,0.25401371717453003,-0.753070592880249,False
mp-81,CO,-0.3769926130771637,-0.7570319771766663,True
mp-81,H,0.2304425835609436,-0.7570319771766663,False
mp-81,CHO,0.10575276613235474,-0.7570319771766663,False
mp-81,COOH,0.5229259133338928,-0.7570319771766663,False
mp-124,CO,-0.21243637800216675,-0.7569664716720581,False
mp-124,H,0.35410624742507935,-0.7569664716720581,False
mp-124,CHO,0.4253765940666199,-0.7569664716720581,False
mp-124,COOH,1.0160832405090332,-0.7569664716720581,False
mp-79,CO,-0.1864960789680481,-0.7655525803565979,False
mp-79,H,0.4326551556587219,-0.7655525803565979,False
mp-79,CHO,0.9569104313850403,-0.7655525803565979,False
mp-79,COOH,0.5120363831520081,-0.7655525803565979,False
mp-117,CO,-2.3548848628997803,0.132418692111969,True
mp-117,H,1.7896497249603271,0.132418692111969,True
mp-117,CHO,-1.9232470989227295,0.132418692111969,False
mp-117,COOH,-2.4207913875579834,0.132418692111969,False
mp-85,CO,-0.3969058692455292,-0.747562825679779,True
mp-85,H,0.7483476996421814,-0.747562825679779,False
mp-85,CHO,0.5148257613182068,-0.747562825679779,False
mp-85,COOH,1.219411849975586,-0.747562825679779,False
mp-23152,CO,-0.34141141176223755,-0.7544376850128174,False
mp-23152,H,1.0429284572601318,-0.7544376850128174,False
mp-23152,CHO,0.3785781264305115,-0.7544376850128174,False
mp-23152,COOH,0.6026268601417542,-0.7544376850128174,False
mp-20483,CO,-0.38804250955581665,-0.7630799412727356,True
mp-20483,H,1.0174930095672607,-0.7630799412727356,False
mp-20483,CHO,0.396820604801178,-0.7630799412727356,False
mp-20483,COOH,1.0244710445404053,-0.7630799412727356,False
mp-126,CO,-1.4754791259765625,-0.7619455456733704,False
mp-126,H,-0.301261305809021,-0.7619455456733704,False
mp-126,CHO,-0.2197210192680359,-0.7619455456733704,True
mp-126,COOH,0.35110217332839966,-0.7619455456733704,False
mp-2,CO,-1.5717296600341797,-0.7521641254425049,False
mp-2,H,0.06574326753616333,-0.7521641254425049,False
mp-2,CHO,-1.3004066944122314,-0.7521641254425049,True
mp-2,COOH,1.3214056491851807,-0.7521641254425049,False
mp-23,CO,-1.8126306533813477,-0.7478393316268921,False
mp-23,H,-0.4680216610431671,-0.7478393316268921,False
mp-23,CHO,-0.9491834044456482,-0.7478393316268921,False
mp-23,COOH,-0.4757389426231384,-0.7478393316268921,False
mp-13,CO,-2.188044786453247,-0.7011778354644775,False
mp-13,H,-0.15174496173858643,-0.7011778354644775,False
mp-13,CHO,-1.0368201732635498,-0.7011778354644775,False
mp-13,COOH,-1.4406859874725342,-0.7011778354644775,False
mp-54,CO,-1.7742457389831543,-0.740551233291626,False
mp-54,H,-0.4578847885131836,-0.740551233291626,False
mp-54,CHO,-0.8769295811653137,-0.740551233291626,True
mp-54,COOH,-0.9408602714538574,-0.740551233291626,True
mp-1184018,CO,-0.46625038981437683,-0.7549898028373718,False
mp-1184018,H,0.2941574454307556,-0.7549898028373718,False
mp-1184018,CHO,-0.4914775788784027,-0.7549898028373718,True
mp-1184018,COOH,0.49237221479415894,-0.7549898028373718,False
mp-1184011,CO,-0.8127073645591736,-0.7497054934501648,False
mp-1184011,H,0.34193533658981323,-0.7497054934501648,False
mp-1184011,CHO,-0.017814457416534424,-0.7497054934501648,True
mp-1184011,COOH,0.8360527157783508,-0.7497054934501648,False
mp-1215401,CO,-0.7082258462905884,-0.7587252855300903,False
mp-1215401,H,0.37224799394607544,-0.7587252855300903,False
mp-1215401,CHO,0.01081758737564087,-0.7587252855300903,True
mp-1215401,COOH,-0.07820010185241699,-0.7587252855300903,False
mp-10598,CO,-0.08322417736053467,-0.45571473240852356,False
mp-10598,H,0.632883608341217,-0.45571473240852356,False
mp-10598,CHO,1.0703866481781006,-0.45571473240852356,False
mp-10598,COOH,1.5089805126190186,-0.45571473240852356,False
mp-1018029,CO,-0.3379018008708954,-0.7486851215362549,False
mp-1018029,H,-0.05539417266845703,-0.7486851215362549,False
mp-1018029,CHO,-0.5356708765029907,-0.7486851215362549,False
mp-1018029,COOH,-0.28523313999176025,-0.7486851215362549,False
mp-12086,CO,-1.3309186697006226,-0.7210729718208313,False
mp-12086,H,0.30555981397628784,-0.7210729718208313,False
mp-12086,CHO,-0.6529295444488525,-0.7210729718208313,False
mp-12086,COOH,0.16083568334579468,-0.7210729718208313,False
mp-21985,CO,-0.5969539880752563,-0.7430417537689209,False
mp-21985,H,-0.06814056634902954,-0.7430417537689209,False
mp-21985,CHO,-0.4455089569091797,-0.7430417537689209,True
mp-21985,COOH,-0.23378485441207886,-0.7430417537689209,False
mp-1183995,CO,-0.33910778164863586,-0.7417383790016174,True
mp-1183995,H,-0.0914306640625,-0.7417383790016174,False
mp-1183995,CHO,-0.22546708583831787,-0.7417383790016174,True
mp-1183995,COOH,1.1026952266693115,-0.7417383790016174,False
mp-1008555,CO,-0.3407909870147705,-0.763813853263855,True
mp-1008555,H,0.054505228996276855,-0.763813853263855,False
mp-1008555,CHO,0.3595433831214905,-0.763813853263855,False
mp-1008555,COOH,0.4103638529777527,-0.763813853263855,False
