bulk_id,dE_OH,dE_O,dE_OOH
mp-126,1.688,2.362,4.724
mp-2,1.597,1.972,4.568
mp-101,1.406,1.715,4.269
mp-33,0.361,0.348,0.204
mp-74,1.15,1.363,2.409
mp-81,2.261,3.522,5.52
mp-124,1.518,2.948,5.081
mp-30,1.474,1.7,4.34
mp-23,0.917,0.919,1.246
mp-54,0.118,0.51,3.507
mp-13,0.114,0.631,-0.535
mp-35,-0.068,-0.39,-0.497
mp-72,-1.258,-1.845,-2.84
mp-90,0.054,-0.447,-0.727
mp-49,-0.013,0.035,1.37
mp-8,-0.176,-0.168,-1.059
mp-91,-0.243,-0.222,-1.623
mp-146,-0.183,-0.956,-2.392
mp-129,-0.147,0.237,-0.849
mp-75,-0.272,-0.7,-1.771
mp-50,-0.597,-0.045,-2.471
