bulk_id,dE_CO,dE_H,dE_CHO,dE_COOH
mp-30,0.058,0.652,0.911,1.016
mp-81,,1.065,0.901,1.337
mp-124,0.584,1.122,1.253,1.753
mp-79,0.495,1.151,1.732,0.68
mp-117,,0.663,-2.745,-2.506
mp-85,,1.5,1.968,
mp-23152,0.424,1.422,1.241,1.157
mp-20483,,1.513,1.217,1.878
mp-126,-0.732,0.457,0.244,1.313
mp-2,-0.404,0.439,,0.686
mp-23,-1.08,0.277,-0.231,0.244
mp-13,-0.966,0.813,-0.311,0.669
mp-54,0.625,0.26,,
mp-1184018,-0.05,1.067,0.935,1.062
mp-1184011,-0.037,0.879,0.662,1.332
mp-1215401,0.417,1.193,,0.895
mp-10598,0.397,1.403,1.572,0.942
mp-1018029,0.376,0.685,0.586,0.415
mp-12086,0.303,1.022,0.056,1.935
mp-21985,-0.097,0.728,1.601,0.64
mp-1183995,,0.914,,1.73
mp-1008555,,0.883,0.919,1.797
