bulk_id,adsorbate,E_adslab,E_slab,anomaly
mp-126,OH,1.0915884971618652,-0.7619771957397461,False
mp-126,O,1.3531880378723145,-0.7619771957397461,False
mp-126,OOH,5.348977088928223,-0.7619771957397461,False
mp-2,OH,0.8803433775901794,-0.752170205116272,False
mp-2,O,1.3628566265106201,-0.752170205116272,False
mp-2,OOH,2.3955039978027344,-0.752170205116272,True
mp-101,OH,0.6851447224617004,-0.7445590496063232,False
mp-101,O,0.9690465331077576,-0.7445590496063232,False
mp-101,OOH,3.548684597015381,-0.7445590496063232,False
mp-33,OH,-0.3662776052951813,-0.7432481050491333,False
mp-33,O,-0.046000123023986816,-0.7432481050491333,False
mp-33,OOH,-1.0601105690002441,-0.7432481050491333,True
mp-74,OH,0.4090816378593445,-0.7438763976097107,False
mp-74,O,0.5530409216880798,-0.7438763976097107,False
mp-74,OOH,3.6714229583740234,-0.7438763976097107,False
mp-81,OH,1.575714349746704,-0.7551282644271851,False
mp-81,O,2.5641732215881348,-0.7551282644271851,False
mp-81,OOH,4.785198211669922,-0.7551282644271851,False
mp-124,OH,0.7541062235832214,-0.7569556832313538,False
mp-124,O,2.1907639503479004,-0.7569556832313538,False
mp-124,OOH,4.28115177154541,-0.7569556832313538,False
mp-30,OH,0.30736976861953735,-0.7529982328414917,False
mp-30,O,1.0466923713684082,-0.7529982328414917,False
mp-30,OOH,3.397820472717285,-0.7529982328414917,False
mp-23,OH,-0.021404147148132324,-0.7478823065757751,False
mp-23,O,0.15713995695114136,-0.7478823065757751,False
mp-23,OOH,0.48937124013900757,-0.7478823065757751,True
mp-54,OH,-0.625962495803833,-0.7405143976211548,False
mp-54,O,0.6959697604179382,-0.7405143976211548,False
mp-54,OOH,2.7166500091552734,-0.7405143976211548,False
mp-13,OH,-0.386721134185791,-0.7010580897331238,False
mp-13,O,-0.022465825080871582,-0.7010580897331238,False
mp-13,OOH,-1.011093020439148,-0.7010580897331238,True
mp-35,OH,-0.6920892000198364,-0.5727622509002686,False
mp-35,O,-1.0776132345199585,-0.5727622509002686,False
mp-35,OOH,2.2111668586730957,-0.5727622509002686,False
mp-72,OH,-1.4729961156845093,-0.7569535374641418,False
mp-72,O,-2.38383150100708,-0.7569535374641418,False
mp-72,OOH,-4.262846946716309,-0.7569535374641418,True
mp-90,OH,-0.9227193593978882,-0.7506920695304871,False
mp-90,O,-1.0332614183425903,-0.7506920695304871,False
mp-90,OOH,-1.5370960235595703,-0.7506920695304871,True
mp-49,OH,-0.6151062846183777,-0.7429162859916687,False
mp-49,O,-0.707490086555481,-0.7429162859916687,False
mp-49,OOH,-1.5436882972717285,-0.7429162859916687,True
mp-8,OH,-1.1678311824798584,-0.7486523389816284,False
mp-8,O,-0.9168867468833923,-0.7486523389816284,False
mp-8,OOH,-1.7964308261871338,-0.7486523389816284,True
mp-91,OH,-1.271249532699585,-0.7411424517631531,False
mp-91,O,-0.9410634636878967,-0.7411424517631531,False
mp-91,OOH,-2.461031436920166,-0.7411424517631531,True
mp-146,OH,-1.3178948163986206,-0.7370219826698303,False
mp-146,O,-1.6965923309326172,-0.7370219826698303,False
mp-146,OOH,-3.3884942531585693,-0.7370219826698303,True
mp-129,OH,-0.8447275161743164,-0.7365984916687012,False
mp-129,O,-0.4707864224910736,-0.7365984916687012,False
mp-129,OOH,-1.8260390758514404,-0.7365984916687012,True
mp-75,OH,-1.0001838207244873,-0.7351031303405762,False
mp-75,O,-1.5406553745269775,-0.7351031303405762,False
mp-75,OOH,0.4136301875114441,-0.7351031303405762,True
mp-50,OH,-1.5382393598556519,-0.7376383543014526,False
mp-50,O,-0.8141753673553467,-0.7376383543014526,False
mp-50,OOH,-3.5270793437957764,-0.7376383543014526,True
