bulk_id,dE_OH,dE_O,dE_OOH
mp-126,1.854,2.115,6.111
mp-2,1.633,2.115,3.148
mp-101,1.43,1.714,4.293
mp-33,0.377,0.697,-0.317
mp-74,1.153,1.297,4.415
mp-81,2.331,3.319,5.54
mp-124,1.511,2.948,5.038
mp-30,1.06,1.8,4.151
mp-23,0.726,0.905,1.237
mp-54,0.115,1.436,3.457
mp-13,0.314,0.679,-0.31
mp-35,-0.119,-0.505,2.784
mp-72,-0.716,-1.627,-3.506
mp-90,-0.172,-0.283,-0.786
mp-49,0.128,0.035,-0.801
mp-8,-0.419,-0.168,-1.048
mp-91,-0.53,-0.2,-1.72
mp-146,-0.581,-0.96,-2.651
mp-129,-0.108,0.266,-1.089
mp-75,-0.265,-0.806,1.149
mp-50,-0.801,-0.077,-2.789
