bulk_id,formula,dE_NO3,anom_NO3,dE_NO2,anom_NO2,dE_NO,anom_NO,dE_N,anom_N,dE_NH,anom_NH,dE_NH3,anom_NH3
mp-30,Cu,6.177,False,4.409,False,3.554,False,1.52,False,0.551,False,-0.366,False
mp-23,Ni,6.008,False,3.763,False,2.083,False,-0.175,False,-0.498,False,-0.141,False
mp-54,Co,5.445,False,3.387,False,1.216,False,-0.921,False,-1.018,False,-0.915,False
mp-2,Pd,6.409,False,4.59,False,2.316,False,1.45,False,1.715,False,-0.614,False
mp-74,Rh,6.001,False,3.8,False,1.746,False,0.414,False,-0.239,False,-0.677,False
mp-126,Pt,6.529,False,4.281,False,2.409,False,1.533,False,0.738,False,-0.88,False
no3rr-Cu3Ni,Cu3Ni,5.836,False,4.299,False,2.55,False,0.243,False,-0.116,False,-0.187,False
no3rr-Cu3Co,CoCu3,5.905,False,3.573,False,1.479,False,-0.207,False,0.162,False,-0.961,False
no3rr-Cu3Fe,Cu3Fe,4.883,True,2.653,False,0.84,False,-1.035,False,0.22,False,-0.908,False
no3rr-Cu3Pd,Cu3Pd,6.379,False,4.688,False,3.751,False,1.781,False,1.407,False,-0.398,False
no3rr-Cu3Rh,Cu3Rh,6.125,False,4.332,False,2.321,False,0.129,False,0.044,False,-0.186,False
no3rr-Cu3Pt,Cu3Pt,6.757,False,4.678,False,4.367,False,1.409,False,0.824,False,-0.446,False
no3rr-Cu3Zn,Cu3Zn,5.878,False,4.224,False,3.714,False,1.675,False,0.632,False,-0.125,True
no3rr-Cu3Sn,Cu3Sn,6.599,False,4.821,False,3.953,False,2.924,False,1.739,False,-0.124,True
no3rr-Cu3Ag,AgCu3,6.103,False,4.515,False,4.247,False,2.602,False,1.802,False,-0.281,False
no3rr-Ni3Cu,CuNi3,6.303,False,4.148,False,2.631,False,0.469,False,0.537,False,-0.159,False
no3rr-Co3Cu,Co3Cu,5.786,False,3.804,False,1.821,False,0.675,False,-0.241,False,0.001,True
no3rr-Pd3Cu,CuPd3,6.161,False,4.601,False,2.499,False,1.68,False,0.991,False,-0.204,False
no3rr-Ni3Fe,FeNi3,5.385,False,4.019,False,2.128,False,-0.509,False,-1.087,False,-0.774,False
no3rr-Ni3Co,CoNi3,5.069,True,3.84,False,2.381,False,-0.797,False,-0.924,False,-0.2,True
no3rr-Co3Pd,Co3Pd,6.12,False,4.487,False,1.876,False,0.689,False,0.39,False,-0.161,True
